DATA SOLICITAÇÃO,DATA EXPEDIÇAO,N° TICKET,PROJETO,EQUIPAMENTO,SERIAL,QUAL ESTOQUE?,NF,RESPONSABILIDADE,REPOSIÇÃO ,VALIDADO NO ESTOQUE
04/01/25,,191608,NTT_EXTENSÕES DEPARTAMENTAIS 9200 - F240242,C9200-24P-4G-A,TSP26500126,9200 TRAG,194,SHIRLEY,,VALIDADO
04/01/25,,191608,NTT_EXTENSÕES DEPARTAMENTAIS 9200 - F240242,C9200-24P-4G-A,TSP25521116,9200 TRAG,195,SHIRLEY,,VALIDADO
04/01/25,,191606,NTT_EXTENSÕES DEPARTAMENTAIS 9200 - F240242,C9200-24P-4G-A,TSP26480139,9200 TRAG,195,SHIRLEY,,VALIDADO
04/01/25,,191604,NTT_EXTENSÕES DEPARTAMENTAIS 9200 - F240242,C9200-24P-4G-A,TSP26503547,9200 TRAG,196,SHIRLEY,,VALIDADO
04/01/25,,191602,NTT_EXTENSÕES DEPARTAMENTAIS 9200 - F240242,C9200-24P-4G-A,TSP25500244,9200 TRAG,193,SHIRLEY,,VALIDADO
11/03/25,,192129,NTT_EVOTECH - 9300 E APS - F240242,CATALYST 9166I AP,FJC28351BPZ,EVOTEVCH,32074,SHIRLEY,,VALIDADO
11/03/25,,192129,NTT_EVOTECH - 9300 E APS - F240242,CATALYST 9166I AP,FJC28351BQC,EVOTEVCH,32074,SHIRLEY,,VALIDADO
11/03/25,,189719,NTT_EVOTECH - 9300 E APS - F240242,CATALYST 9166I AP,FJC28351BP9,EVOTEVCH,32073,SHIRLEY,,VALIDADO
11/03/25,,189719,NTT_EVOTECH - 9300 E APS - F240242,CATALYST 9166I AP,FJC28351BYB,EVOTEVCH,32073,SHIRLEY,,VALIDADO
11/03/25,,189719,NTT_EVOTECH - 9300 E APS - F240242,CATALYST 9166I AP,FJC28351BKX,EVOTEVCH,32073,SHIRLEY,,VALIDADO
11/03/25,,189719,NTT_EVOTECH - 9300 E APS - F240242,CATALYST 9166I AP,FJC28351C1G,EVOTEVCH,32073,SHIRLEY,,VALIDADO
11/03/25,,189719,NTT_EVOTECH - 9300 E APS - F240242,CATALYST 9166I AP,FJC28351BYE,EVOTEVCH,32073,SHIRLEY,,VALIDADO
11/03/25,,189719,NTT_EVOTECH - 9300 E APS - F240242,CATALYST 9166I AP,FJC28351C1S,EVOTEVCH,32073,SHIRLEY,,VALIDADO
